dataset,category,vendor,article_no,article_description_en,article_description_ch,pack_size,source,serving_size,total_calories_cal,calories_from_fat_fat_cal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbohydrate_g,dietary_fiber_g,sugars_g,protein_g
Master List SRS Transfer,Material,Grocery,1607557,WFY NEW SAGO-ORIGINAL,五褔圓原味小西米,36/250GM(70),,1,1209.6,0,0,0,0,0,604.8,287.28,0,0,0
Master List SRS Transfer,Material,Grocery,1608202,QV COT BUNBO HUE SOUP BASE,順化牛肉粉調味料,24/12OZ,Label,1,1260,680.4,75.6,0,0,0,7056,151.2,151197.33,100798.22,0
Master List SRS Transfer,Material,Grocery,1610001,PRES DUCK EGG-(KIMBO),金寶皮蛋(六粒裝),24/6PC (49),1 egg = 55 oz,1,794.21,497.31,55.26,20.62,0,1608.22,2202.02,11.55,0,0,62.68
Master List SRS Transfer,Material,Grocery,1611002,KIMBO CORN OIL,金宝玉米油,,,1,4050,4050,453.6,64.8,0,0,0,0,0,0,0
Master List SRS Transfer,Material,Grocery,1614323,KC VINEGAR-DILUTED (RED)                                         1CV/12EA,冠珍大紅浙醋,,,1,0,0,0,0,0,0,3240,0,0,0,0
Master List SRS Transfer,Material,Grocery,1614972,ASN/TAS SHAOHSING COOKING WINE,東之味紹興料酒,4/3L,Label,1,604.8,0,0,0,0,0,2313.36,15.12,0,0,0
Master List SRS Transfer,Material,Grocery,1614974,ASN/TAS RICE COOKING WINE,東之味香米料酒,4/3L (48),Label,1,378,0,0,0,0,0,2268,0,0,0,0
Master List SRS Transfer,Material,Grocery,1615057,YHY PURE SOY BEAN SAUCE,粵香園生曬鮮抽,,,1,126,0,0,0,0,0,39564,25.2,0,0,25.2
Master List SRS Transfer,Material,Grocery,1615491,LKK MSHRM DRK SOYSAUCE,李錦計草菇老抽-錦珍,,1 tbsp = 14 g,1,810,0,0,0,0,0,32400,162,0,32.4,0
Master List SRS Transfer,Material,Grocery,1615537,KIMLAN SOY PASTE,金蘭醬油膏,,,1,483.84,0,0,0,0,0,15120,90.72,0,60.48,33.26
Master List SRS Transfer,Material,Grocery,1615901,MAGGI SEASONING,美極鮮醬油(大),,1 ml = 1 g,1,907.2,0,0,0,0,0,36288,0,0,0,0
Master List SRS Transfer,Material,Grocery,1616211,TF SZCHN HOT BEAN SAUCE CAN-L,四川辣豆瓣醬-大,24/16OZ (80),Label,1,362.88,0,0,0,0,0,20366.64,45.36,45.36,0,45.36
Master List SRS Transfer,Material,Grocery,1616527,BULLHEAD BARBECUE SAUCE,牛頭牌沙茶醬(大),12/26OZ (72),"2 tbsp = 20 g, according to label; http://ecx.images-amazon.com/images/I/615dUFnf3oL.jpg",,3538.08,3265.92,362.88,68.04,0,113.4,1655.64,22.68,22.68,0,45.36
Master List SRS Transfer,Material,Grocery,1616610,LKK PANDA OYSTER SAUCE,李錦記熊貓蠔油,12/32OZ (56/2150LB),Label,1,872.31,0,0,0,0,0,34194.46,174.46,0,139.57,0
Master List SRS Transfer,Material,Grocery,1616695,KC GROUND BEAN SAUCE,磨原豉,,"1 tbsp = 16 g, according to label",1,708.75,141.75,28.35,0,0,0,21546,85.05,0,56.7,28.35
Master List SRS Transfer,Material,Grocery,1616701,KC HOISIN SAUSE (6/5LB),冠珍海鮮醬,,"1 tbsp = 19.35 g, according to label",1,1172.09,234.42,23.44,0,0,0,9845.58,210.98,23.44,164.09,23.44
Master List SRS Transfer,Material,Grocery,1616701,KC CHEE HOU SAUCE,冠珍柱侯醬,,"1 tbsp = 18 g, according to label",1,1260,252,25.2,0,0,0,10332,226.8,25.2,201.6,25.2
Master List SRS Transfer,Material,Grocery,1616720,ASN/TAS BBQ SAUCE,東之味沙茶醬,12/26OZ (72),Label,1,3243.24,3061.8,340.2,90.72,0,0,3107.16,0,22.68,0,45.36
Master List SRS Transfer,Material,Grocery,1618112,FLYING LION FISH SAUCE,飛獅富國魚露,12/24OZ (70/2705LB,,1,453.6,0,0,0,0,0,45057.6,60.48,0,30.24,60.48
Master List SRS Transfer,Material,Grocery,1619334,LKK CHILI BEAN SAUCE (TOBAN),李錦記辣豆瓣醬,12/13OZ,,,378,0,0,0,0,0,6048,75.6,0,0,0
