section	vendor	toledo_number	type	english_description	chinese_description	serving_size	unit	total_calories_cal	percent_cal	calories_from_fat_fat_cal	total_fat_g	percent_fat	saturated_fat_g	percent_sat_fat	trans_fat_g	cholesterol_mg	percent_chol	sodium_mg	percent_sod	total_carbohydrate_g	percent_carb	dietary_fiber_g	percent_diet	sugars_g	protein_g	percent_pro
cold_deli	yts	4498700805		KIMBO VEGE FISH FILLET	ÀÿÙ~∆¨	0.5	lb	235.87	0.12	91.86	10.21	0.16	1.59	0.08	0	0	0	548.86	0.23	12.93	0.04	9.75	0.39	0	23.14	0.46
cold_deli	yts	4498700802		KIMBO VEGE SMOKED DRUM STICK	Àÿ˝à¯PÕ»	0.25	lb	294.84	0.15	193.92	21.55	0.33	0	0	0	0	0	669.06	0.28	20.41	0.07	12.48	0.5	1.14	7.94	0.16
cold_deli	yts	4498700817		KIMBO VEGETABLE TOFU	 ﬂ≤À∂π∏Ø	0.5	lb	433.19	0.22	306.18	34.02	0.52	0	0	0	0	0	601.02	0.25	11.34	0.04	2.27	0.09	0	20.41	0.41
cold_deli	yts	4498700807		KIMBO VEGE TEMPURA BAR	Àÿ∫⁄›Üól	0.5	lb	408.24	0.2	142.89	15.88	0.24	0	0	0	0	0	1428.84	0.6	63.51	0.21	11.34	0.45	13.61	6.81	0.14
cold_deli	yts	4498700811		KIMBO VEGE JAN CHIU BALL	Àÿ’‰÷ÈÕË	0.5	lb	181.44	0.09	58.97	5.67	0.09	0	0	0	0	0	1088.64	0.45	27.22	0.09	9.07	0.36	2.27	4.54	0.09
cold_deli	yts	4498700810		KIMBO VEGE MUSHROOM BALL	Àÿœ„πΩÕË	0.25	lb	294.84	0.15	193.92	21.55	0.33	0	0	0	0	0	669.06	0.28	20.41	0.07	12.48	0.5	1.14	7.94	0.16
cold_deli	yts	4498700804		KIMBO VEGE STEAMBOAT FLAVORING	ÀÿªÂÅ¡œ	0.25	lb	294.84	0.15	163.3	18.15	0.28	3.97	0.2	0	0	0	1031.94	0.43	13.61	0.05	3.4	0.14	7.94	20.41	0.41
hot_deli	gp_bakery	28287900000		GREEN ONION CAKE	 [”ÕÔû	0.44	lb	250	0.13	7	9	0.14	1	0.05	0	9	0.03	5	0	12	0.04	1	0.04	1	8	0.16
cold_deli	gp_bakery	28258900000		GREEN ONION CAKE	 [”ÕÔû	0.44	lb	250	0.13	7	9	0.14	1	0.05	0	9	0.03	5	0	12	0.04	1	0.04	1	8	0.16
cold_deli	import	20111000000		FPC SEAWEED KNOT	∫£éßΩY	0.19	lb	53.36	0.03	0	0	0	0	0	0	0	0	37.36	0.02	5.34	0.02	0	0	0	5.34	0.11
cold_deli	import	20111100000		FPC SEAWEED STRIPE	∫£éßΩz	0.19	lb	53.36	0.03	0	0	0	0	0	0	0	0	37.36	0.02	5.34	0.02	0	0	0	5.34	0.11
cold_deli	import	20110000000		FPC SEAWEED ROLL	∫£éßí‘	0.19	lb	53.36	0.03	0	0	0	0	0	0	0	0	37.36	0.02	5.34	0.02	0	0	0	5.34	0.11
hot_deli	gp_bakery	28288000000		LEEK POCKET	æ¬≤À∫–◊”	0.22	lb	211	0.11	101	7	0.11	1	0.05	0	0	0	177	0.07	13	0.04	1	0.04	1	5	0.1
cold_deli	gp_bakery	28246200000		SESAME PANCAKE  CD	÷• hü˝Ôû	0.29	lb	167	0.08	60	6	0.09	0	0	0	2	0.01	12	0.01	23	0.08	2	0.08	0	4	0.08
cold_deli	fpc	28254000000	marinated	MARINATED BEEF TENDON	ùF≈£ΩÓ	0.5	lb	381.02	0.19	130.64	14.52	0.22	4.64	0.23	0.29	215.46	0.72	1687.39	0.7	4.31	0.01	0	0	4.31	58.15	1.16
cold_deli	fpc	28254200000	marinated	MARINATED BEEF SHANK	ùF≈£ÎÏ	0.5	lb	387.83	0.19	69.4	7.71	0.12	3.62	0.18	0.31	242.68	0.81	1165.75	0.49	2.72	0.01	0	0	2.27	76.84	1.54
cold_deli	store_made	28254300000		BEEF SHANK SLICED	≈£ÎÏ«–∆¨	0.5	lb	387.83	0.19	69.4	7.71	0.12	3.62	0.18	0.31	242.68	0.81	1165.75	0.49	2.72	0.01	0	0	2.27	76.84	1.54
cold_deli	fpc	28254500000	marinated	MARINATED BEEF HONEY TRIPE	ùF≈£∂«	0.5	lb	419.58	0.21	255.76	28.42	0.44	15.63	0.78	1.71	410.51	1.37	1653.37	0.69	9.21	0.03	0	0	5.67	31.71	0.63
cold_deli	fpc	28255300000	marinated	MARINATED PORK EAR THREAD	ùFÿi∂˙	0.5	lb	360.61	0.18	173.71	19.3	0.3	6.37	0.32	0	569.27	1.9	1272.35	0.53	6.12	0.02	0	0	3.86	40.67	0.81
cold_deli	fpc	28255800000	marinated	MARINATED PORK INTESTINES	ùFÿi¥Ûƒc	0.25	lb	358.34	0.18	265.87	29.54	0.45	15.07	0.75	0	79.38	0.26	737.1	0.31	1.72	0.01	0	0	1.13	21.52	0.43
hot_deli	fpc	28243600000	marinated	MARINATED PORK INTESTINES	ùF¥Ûƒc	0.25	lb	358.34	0.18	265.87	29.54	0.45	15.07	0.75	0	79.38	0.26	737.1	0.31	1.72	0.01	0	0	1.13	21.52	0.43
cold_deli	fpc	28256000000	marinated	MARINATED PORK HOCK SLICED	ùFÿi÷‚«–∆¨	0.25	lb	291.44	0.15	181.46	20.16	0.31	7.66	0.38	0	112.27	0.37	551.12	0.23	3.18	0.01	0	0	1.25	24.32	0.49
cold_deli	fpc	28255900000	marinated	MARINATED PORK HOCK	ùFÿi÷‚	0.25	lb	291.44	0.15	181.46	20.16	0.31	7.66	0.38	0	112.27	0.37	551.12	0.23	3.18	0.01	0	0	1.25	24.32	0.49
hot_deli	store_made	28243800000		ROASTED PORK HOCK	øæÿiƒ_	0.25	lb	291.44	0.15	181.46	20.16	0.31	7.66	0.38	0	112.27	0.37	551.12	0.23	3.18	0.01	0	0	1.25	24.32	0.49
hot_deli	fpc	28256100000	marinated	MARINATED PORK FEET	ùFÿiΩ≈	0.25	lb	286.9	0.14	152.89	16.99	0.26	5.78	0.29	0	113.4	0.38	711.02	0.3	4.41	0.01	0	0	2.49	30.19	0.6
cold_deli	fpc	20149100000		SEASONED EGG N BEAN CURD	ùFŒ∂Îp∆¥	0.5	lb	409.37	0.2	214.94	23.88	0.37	8.26	0.41	0.12	487.62	1.63	1613.68	0.67	11.75	0.04	4.24	0.17	3.97	36.86	0.74
cold_deli	fpc	28274800000		BEAN CURD THREAD SALAD	õˆ∞Ë«¨Ωz	0.5	lb	355.97	0.18	118.81	13.03	0.2	3.76	0.19	0	0	0	816.77	0.34	20.6	0.07	5.19	0.21	2.87	38.19	0.76
cold_deli	fpc	28275000000		SEAWEED SALAD	õˆ∞Ë∫£éßΩz	0.5	lb	199.92	0.1	93.88	10.14	0.16	2.43	0.12	0	0	0	1827.15	0.76	26.04	0.09	2.61	0.1	7.22	4.7	0.09
cold_deli	fpc	28275200000		BURDOCK ROOT	÷•¬È≈£›ÚΩz	0.25	lb	165	0.08	57.25	6.25	0.1	0	0	0	0	0	1242.75	0.52	24	0.08	0	0	0	3	0.06
cold_deli	fpc	28275400000		PICKLED MUSTARD GREEN	·Z—©—eºt	0.5	lb	60.63	0.03	8.49	0.94	0.01	0.02	0	0	0	0	915.24	0.38	10.49	0.03	7.19	0.29	2.96	6.42	0.13
cold_deli	fpc	20131700000		PICKLED MUSTARD GREEN	·Z—©—eºt	0.5	lb	60.63	0.03	8.49	0.94	0.01	0.02	0	0	0	0	915.24	0.38	10.49	0.03	7.19	0.29	2.96	6.42	0.13
cold_deli	fpc	20104000000		FRIED BEAN CURD (FU PO) 	”Õ’®∏Ø∞¸ (◊‘––”Õ’®)	0.5	lb	480.82	0.24	267.62	29.48	0.45	0	0	0	0	0	134	0.06	9	0.03	5	0.2	29	29	0.58
